student_id,minutes_watched
1481,30.05
2811,5234.47
6741,32.97
11404,96.17
12898,87.75
143655,13.27
144174,571.18
144384,147.50
146929,2.33
66,0.72
132,71.92
516,46.27
560,1.37
606,18.12
615,18.93
699,0.13
830,0.35
840,1122.13
895,18.45
988,364.28
1002,1394.52
1020,0.83
1086,894.85
1132,139.87
1145,657.35
1173,487.40
1183,1333.03
1188,35.40
1196,119.23
1233,16.77
1235,2.75
1244,26.03
1257,2.07
1266,227.62
1283,0.33
1306,68.93
1307,5.50
1323,60.50
1395,133.52
1468,10.93
1516,6.42
1567,921.55
1571,77.60
1587,93.92
1598,131.40
1652,322.45
1669,259.42
1784,0.13
1795,139.98
1801,3.00
1805,0.43
1882,11.30
1883,0.83
1950,214.77
1965,13.67
1967,0.07
1977,994.55
1994,864.73
2018,215.30
2051,161.57
2055,53.47
2092,848.05
2104,44.12
2135,16.83
2236,18.37
2255,17.92
2256,41.97
2292,8.50
2389,2.08
2454,5.38
2506,11.50
2536,905.38
2549,40.22
2582,1577.52
2591,1674.27
2608,6.10
2788,44.87
2793,79.28
2825,1.17
2826,12.22
2887,566.50
2920,11.40
2928,2.03
2943,1142.07
2984,1296.50
3008,11.95
3059,37.00
3070,863.63
3107,27.43
3115,51.72
3146,0.18
3215,177.32
3271,0.95
3272,418.00
3291,1379.47
3337,26.15
3338,795.33
3478,824.17
3513,238.78
3670,2.67
3761,9.18
3779,592.30
3799,115.12
3857,2.50
3894,0.18
3943,83.57
3983,18.62
3987,103.37
4055,8.83
4150,4.53
4160,481.93
4335,0.25
4384,398.32
4698,25.87
4721,2416.65
4751,0.75
4808,1.07
4818,134.33
4843,1189.77
4884,0.10
4927,39.97
4942,33.97
5028,819.18
5033,1.12
5069,6.58
5070,181.57
5225,0.07
5323,96.40
5377,0.10
5391,357.55
5549,0.38
5567,761.90
5592,0.13
5750,0.38
5836,1259.58
5882,4.72
5888,157.80
5891,7.33
6011,164.35
6278,974.87
6362,25.88
6381,0.32
6408,500.58
6451,12.20
6453,19.73
6503,8.23
6530,1813.90
6589,443.77
6598,35.17
6599,67.33
6608,15.82
6691,0.85
6715,32.88
6764,0.12
6773,18.03
6780,2.20
6869,39.75
6924,268.05
6932,205.20
7008,0.43
7101,680.80
7244,669.83
7291,7.72
7306,132.30
7343,985.05
7351,0.68
7400,9.50
7437,1524.23
7455,0.10
7475,556.23
7540,193.12
7588,8.63
7622,1.20
7708,0.27
7724,24.10
7752,70.65
7898,65.87
8086,0.05
8223,377.68
8260,7.03
8275,62.65
8398,8.68
8431,1.62
8495,252.83
8538,31.78
8937,171.27
8969,2.08
9151,6.08
9237,165.47
9248,0.27
9293,17.27
9372,14.78
9478,42.53
9653,2559.27
9806,14.13
9989,15.47
10070,0.45
10365,126.75
10379,138.87
10593,3.95
10612,0.40
10958,62.70
11020,41.17
11112,6.98
11225,0.12
11528,5.65
11748,87.23
11991,4.92
12234,11.37
12237,7.10
12372,0.32
12382,0.22
12432,0.17
12668,1.27
12741,11.17
12781,906.67
12816,50.62
12971,36.55
12996,0.17
13128,6.78
13180,248.02
13248,0.10
13510,168.22
13586,1.05
13832,1.78
13948,1.93
14054,0.07
14211,8.53
14354,2.93
14369,0.67
14765,1031.18
15646,284.05
15705,0.18
15736,487.15
15787,10.02
15926,0.45
16450,339.38
16565,6.40
16902,0.82
17126,40.32
17254,450.70
17557,0.87
18311,1.32
18678,174.03
18700,4.13
18719,118.62
19050,161.58
19269,16.45
19636,21.10
19677,60.83
20125,3.35
20218,0.82
20365,0.17
20520,7.00
21827,0.08
21865,194.73
22083,71.82
22195,1.68
22239,0.93
22774,4.38
22959,0.48
23036,3.80
23139,3.82
23609,0.15
24006,9506.40
24165,11.97
24276,6.07
24423,1001.68
24597,0.17
24774,0.05
24778,0.08
24972,19.53
25103,0.18
25769,7.38
26002,7.48
26179,49.25
26188,0.25
26296,0.22
26933,386.95
27780,0.67
28322,0.27
29444,37.47
29740,0.85
29993,12.32
30084,0.05
30195,41.82
30556,0.08
31491,0.58
32150,0.18
32973,36.62
35223,7.47
36300,49.43
37860,195.97
38232,1.33
39298,8.88
39688,109.42
39769,0.20
40679,0.62
41336,471.08
41451,105.42
41627,1.00
41851,0.05
42546,1.53
43115,137.65
44751,0.05
45417,11.07
48510,0.08
49639,2.48
50317,0.42
52892,0.40
54036,0.62
54665,0.05
55342,0.10
56168,4.32
57131,5.57
60092,0.07
61522,0.05
61806,0.63
61845,0.07
62186,48.77
62440,0.35
62471,0.05
62525,8.40
62841,0.05
62851,0.88
63538,0.10
64278,0.20
65857,107.72
66318,65.38
67824,1.85
68107,1.92
71758,101.90
72221,15.92
72262,0.30
72348,0.12
72838,0.48
74005,2.93
74935,35.10
74943,0.05
75252,0.13
78210,72.72
78541,0.15
79351,0.12
81399,3.25
83182,0.13
83276,0.17
86652,0.72
89147,0.05
92582,23.70
93071,3.23
98640,15.38
99070,0.07
102267,13.28
105316,0.33
105502,7.02
106257,5.87
106549,1.77
107454,0.47
110557,30.57
113759,1.13
116556,0.73
117468,0.08
119972,0.08
123732,26.37
124556,9.50
126135,0.05
126978,41.50
134943,10.52
135960,0.58
137457,0.70
139015,19.50
140195,22.35
140465,0.52
140676,13.75
142411,0.23
142934,5570.52
143378,4.30
143407,19.98
143420,0.15
143444,63.50
143488,36.92
143599,55.58
143621,8.00
143658,0.15
143721,33.40
143965,0.05
143984,2.72
144074,153.50
144164,579.62
144293,3338.85
144381,315.87
144492,211.95
144578,32.33
144681,281.95
144781,3.95
144900,548.15
144925,1.58
144937,3.77
145002,0.10
145013,271.75
145050,1009.50
145095,0.07
145167,256.18
145190,5.45
145310,4.98
145377,2.37
145594,9.85
145658,1.13
145665,110.08
145754,8.83
145793,408.33
145796,800.58
145813,320.27
145920,31.68
145941,38.28
145957,19.13
146141,95.55
146143,9.95
146158,1.33
146201,1247.50
146202,0.27
146215,10.35
146247,0.15
146249,25.37
146289,0.10
146399,24.43
146409,1.28
146480,168.80
146498,1200.85
146499,78.62
146656,0.17
146669,8.27
146708,0.47
146756,40.28
146814,0.40
146851,353.88
146897,130.90
146943,0.33
146948,637.23
146984,2.72
146990,168.52
147004,0.08
147015,700.97
147044,0.80
147088,12.98
147103,17.93
147180,445.78
147245,0.15
147269,335.50
147275,14.28
147429,6.05
147479,1163.55
147546,273.40
147578,0.15
147591,80.08
147639,55.90
147665,2.15
147693,3.87
147762,3.35
147801,30.95
