purchase_id,student_id,plan_id,date_start,date_end,date_refunded
2,139664,0,2020-01-27,2020-02-27,NULL
4,6366,2,2020-01-28,2021-01-28,NULL
6,24897,0,2020-01-29,2020-02-29,NULL
9,31627,0,2020-01-29,2020-02-29,NULL
10,72381,0,2020-01-31,2020-02-29,NULL
11,26416,0,2020-01-31,2020-02-29,NULL
12,4698,0,2020-01-31,2020-02-29,NULL
13,2622,2,2020-02-01,2021-02-01,NULL
14,2714,2,2020-02-01,2021-02-01,NULL
15,23694,0,2020-02-02,2020-03-02,NULL
16,2851,2,2020-02-02,2021-02-02,NULL
17,22735,0,2020-02-02,2020-03-02,NULL
18,135384,0,2020-02-03,2020-03-03,NULL
21,3755,2,2020-02-04,2021-02-04,NULL
22,3630,2,2020-02-04,2021-02-04,NULL
24,12387,0,2020-02-05,2020-03-05,NULL
25,6899,2,2020-02-05,2021-02-05,NULL
26,135382,0,2020-02-07,2020-03-07,NULL
27,135383,0,2020-02-07,2020-03-07,NULL
28,3565,2,2020-02-08,2021-02-08,NULL
29,35511,0,2020-02-08,2020-03-08,NULL
30,51952,0,2020-02-08,2020-03-08,NULL
31,9101,2,2020-02-09,2021-02-09,NULL
32,3783,2,2020-02-09,2021-02-09,NULL
33,139837,0,2020-02-10,2020-03-10,NULL
34,139836,0,2020-02-11,2020-03-11,NULL
36,139815,0,2020-02-11,2020-03-11,NULL
37,2481,2,2020-02-11,2021-02-11,NULL
38,139775,2,2020-02-11,2021-02-11,NULL
39,43313,0,2020-02-13,2020-03-13,NULL
40,5235,2,2020-02-14,2021-02-14,NULL
41,2633,2,2020-02-14,2021-02-14,NULL
42,36407,0,2020-02-14,2020-03-14,NULL
43,111756,0,2020-02-15,2020-03-15,NULL
44,109048,0,2020-02-15,2020-03-15,NULL
45,19477,2,2020-02-15,2021-02-15,NULL
46,5325,2,2020-02-15,2021-02-15,NULL
47,23811,2,2020-02-16,2021-02-16,NULL
48,94985,0,2020-02-16,2020-03-16,NULL
49,19342,2,2020-02-16,2021-02-16,NULL
50,134790,2,2020-02-17,2021-02-17,NULL
51,100885,0,2020-02-17,2020-03-17,NULL
52,2377,2,2020-02-17,2021-02-17,NULL
53,57432,0,2020-02-17,2020-03-17,NULL
54,138863,0,2020-02-17,2020-03-17,NULL
55,32002,0,2020-02-17,2020-03-17,NULL
56,2704,2,2020-02-18,2021-02-18,NULL
57,139757,0,2020-02-18,2020-03-18,NULL
58,108763,0,2020-02-18,2020-03-18,NULL
59,104986,0,2020-02-18,2020-03-18,NULL
60,135381,0,2020-02-18,2020-03-18,NULL
61,6643,0,2020-02-18,2020-03-18,NULL
62,1544,2,2020-02-18,2021-02-18,NULL
63,4685,2,2020-02-19,2021-02-19,NULL
64,134839,0,2020-02-19,2020-03-19,NULL
65,21966,0,2020-02-19,2020-03-19,NULL
66,28074,0,2020-02-19,2020-03-19,NULL
67,5339,2,2020-02-19,2021-02-19,NULL
68,14303,0,2020-02-20,2020-03-20,NULL
69,25401,0,2020-02-21,2020-03-21,NULL
70,12142,2,2020-02-21,2021-02-21,NULL
71,18240,0,2020-02-22,2020-03-22,NULL
72,8081,2,2020-02-22,2021-02-22,NULL
73,1698,2,2020-02-22,2021-02-22,NULL
74,3120,2,2020-02-22,2021-02-22,NULL
75,139312,0,2020-02-23,2020-03-23,NULL
76,22300,0,2020-02-23,2020-03-23,NULL
77,1521,2,2020-02-23,2021-02-23,NULL
78,12092,0,2020-02-24,2020-03-24,NULL
79,134798,0,2020-02-24,2020-03-24,NULL
80,134799,0,2020-02-24,2020-03-24,NULL
82,109870,0,2020-02-25,2020-03-25,NULL
83,7100,0,2020-02-25,2020-03-25,NULL
84,10194,2,2020-02-25,2021-02-25,NULL
85,14543,0,2020-02-25,2020-03-25,NULL
86,19018,0,2020-02-26,2020-03-26,NULL
87,134801,0,2020-02-26,2020-03-26,NULL
88,19784,2,2020-02-27,2021-02-27,NULL
89,32237,2,2020-02-27,2021-02-27,NULL
90,65759,2,2020-02-27,2021-02-27,NULL
91,134803,0,2020-02-27,2020-03-27,NULL
92,10131,0,2020-02-27,2020-03-27,NULL
93,34293,0,2020-02-28,2020-03-28,NULL
94,134806,0,2020-02-28,2020-03-28,NULL
95,7548,2,2020-02-28,2021-02-28,NULL
96,19979,0,2020-02-28,2020-03-28,NULL
97,24246,0,2020-02-29,2020-03-29,NULL
98,24897,0,2020-02-29,2020-03-29,NULL
99,72381,0,2020-02-29,2020-03-29,NULL
100,26416,0,2020-02-29,2020-03-29,NULL
102,31627,0,2020-02-29,2020-03-29,NULL
104,134808,0,2020-02-29,2020-03-29,NULL
105,134809,2,2020-02-29,2021-02-28,NULL
106,96894,0,2020-02-29,2020-03-29,NULL
107,134810,0,2020-03-01,2020-04-01,NULL
108,6589,2,2020-03-01,2021-03-01,NULL
109,71249,0,2020-03-01,2020-04-01,NULL
110,18222,0,2020-03-02,2020-04-02,NULL
111,23694,0,2020-03-02,2020-04-02,NULL
112,134813,0,2020-03-02,2020-04-02,NULL
113,22118,0,2020-03-02,2020-04-02,NULL
114,22735,0,2020-03-02,2020-04-02,NULL
115,134814,0,2020-03-02,2020-04-02,NULL
116,73179,0,2020-03-02,2020-04-02,NULL
117,18378,2,2020-03-02,2021-03-02,NULL
118,3969,3,2020-03-02,2026-01-16,NULL
119,134815,0,2020-03-02,2020-04-02,NULL
120,15328,2,2020-03-02,2021-03-02,NULL
121,134816,2,2020-03-02,2021-03-02,NULL
122,135384,0,2020-03-03,2020-04-03,NULL
125,134817,0,2020-03-03,2020-04-03,NULL
126,134818,2,2020-03-04,2021-03-04,NULL
127,6401,0,2020-03-04,2020-04-04,NULL
128,19391,0,2020-03-05,2020-04-05,NULL
129,12387,0,2020-03-05,2020-04-05,NULL
130,2645,2,2020-03-05,2021-03-05,NULL
131,134825,0,2020-03-05,2020-04-05,NULL
133,1924,0,2020-03-06,2020-04-06,NULL
134,13497,0,2020-03-06,2020-04-06,NULL
135,122752,2,2020-03-06,2021-03-06,NULL
136,5913,0,2020-03-06,2020-04-06,NULL
137,21449,0,2020-03-07,2020-04-07,NULL
138,135382,0,2020-03-07,2020-04-07,NULL
139,135383,0,2020-03-07,2020-04-07,NULL
140,9508,2,2020-03-07,2021-03-07,NULL
141,14806,0,2020-03-07,2020-04-07,NULL
142,26371,0,2020-03-08,2020-04-08,NULL
143,35511,0,2020-03-08,2020-04-08,NULL
144,51952,0,2020-03-08,2020-04-08,NULL
145,2609,0,2020-03-09,2020-04-09,NULL
146,1661,2,2020-03-09,2021-03-09,NULL
147,3221,0,2020-03-09,2020-04-09,NULL
148,28900,0,2020-03-10,2020-04-10,NULL
149,134833,0,2020-03-10,2020-04-10,NULL
150,134834,0,2020-03-10,2020-04-10,NULL
151,11794,0,2020-03-10,2020-04-10,NULL
153,9598,0,2020-03-11,2020-04-11,NULL
155,30122,0,2020-03-11,2020-04-11,NULL
156,18523,2,2020-03-11,2021-03-11,NULL
157,1845,2,2020-03-11,2021-03-11,NULL
158,63905,0,2020-03-13,2020-04-13,NULL
159,43313,0,2020-03-13,2020-04-13,NULL
160,6808,0,2020-03-13,2020-04-13,NULL
161,22943,0,2020-03-14,2020-04-14,NULL
162,25173,0,2020-03-14,2020-04-14,NULL
163,25173,0,2020-03-14,2020-04-14,NULL
164,111756,0,2020-03-15,2020-04-15,NULL
165,109048,0,2020-03-15,2020-04-15,NULL
166,10338,2,2020-03-15,2021-03-15,NULL
167,25243,2,2020-03-15,2021-03-15,NULL
168,94985,0,2020-03-16,2020-04-16,NULL
170,1295,2,2020-03-16,2021-03-16,NULL
